Name,Symbol,Exchange,Code,Sector,Industry,Listing_status,Delisting_date,New_listing_date
Dongfeng Automobile,600006,상하이,s04,경기 민감형 소비재,자동차와 트럭 제조,O,null,null
Cnhtc Truck A,951,심천,s04,경기 민감형 소비재,자동차와 트럭 제조,O,null,null
Gd Chj Industry A,2345,심천,s04,경기 민감형 소비재,보석 및 은제품,O,null,null
Markor International,600337,상하이,s04,경기 민감형 소비재,가구와 비품,O,null,null
Shanghai Haixin B,900917,상하이,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Shanghai Haixin A,600851,상하이,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Zhejiang Jingu A,2488,심천,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Yotrio Group A,2489,심천,s04,경기 민감형 소비재,가구와 비품,O,null,null
Shanghai Conant Optics,300061,심천,s04,경기 민감형 소비재,여가용 제품,O,null,null
Vanward New Elec A,2543,심천,s04,경기 민감형 소비재,가전과 공구,O,null,null
Guangdong Xinbao A,2705,심천,s04,경기 민감형 소비재,가전과 공구,O,null,null
FAWER Automotive,200030,심천,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Fawer Automotive A,30,심천,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Guangzhou Holike Creative Home,603898,상하이,s04,경기 민감형 소비재,가구와 비품,O,null,null
Beijing Wkw Automotive Parts A,2662,심천,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Qibu,603557,상하이,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Giti Tire Corp,600182,상하이,s04,경기 민감형 소비재,타이어,O,null,null
Ningbo Yak Tech A,2036,심천,s04,경기 민감형 소비재,직물 – 비의류,O,null,null
Sinoer A,2485,심천,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Joeone,601566,상하이,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Lu Thai Textile,200726,심천,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Luthai Textile A,726,심천,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Kuangda Technology,2516,심천,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Ningbo Jifeng Auto Parts,603997,상하이,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Sailun Jinyu,601058,상하이,s04,경기 민감형 소비재,타이어,O,null,null
Mianyang Fulin Machining,300432,심천,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Ningbo Shuanglin Auto Parts,300100,심천,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Lifan Industry,601777,상하이,s04,경기 민감형 소비재,자동차와 트럭 제조,O,null,null
Bros Eastern,601339,상하이,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Anhui Korrun,300577,심천,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Zhejiang Taihua New Material,603055,상하이,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Xiamen King Long Motor,600686,상하이,s04,경기 민감형 소비재,자동차와 트럭 제조,O,null,null
Dongguan Kingsun Optoelectron A,2638,심천,s04,경기 민감형 소비재,가구와 비품,O,null,null
Elec-Tech Int A,2005,심천,s04,경기 민감형 소비재,가전과 공구,O,null,null
Stellar Megaunion A,892,심천,s04,경기 민감형 소비재,여가용 제품,O,null,null
Zhejiang Hangmin,600987,상하이,s04,경기 민감형 소비재,직물 – 비의류,O,null,null
Qianjiang Moto A,913,심천,s04,경기 민감형 소비재,여가용 제품,O,null,null
Metersbonwe A,2269,심천,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Fujian Longma Environment,603686,상하이,s04,경기 민감형 소비재,자동차와 트럭 제조,O,null,null
Xilinmen Furniture,603008,상하이,s04,경기 민감형 소비재,가구와 비품,O,null,null
Shandong Binzhou Bohai Piston,600960,상하이,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Lingyun Ind,600480,상하이,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Maiya A,971,심천,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Septwolves Ind A,2029,심천,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Sichuan Jiuzhou A,801,심천,s04,경기 민감형 소비재,오디오와 비디오 장비,O,null,null
Tronly New Electronic Materials,300429,심천,s04,경기 민감형 소비재,사진술,O,null,null
Changchun Faway Auto,600742,상하이,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Shanghai La Chapelle Fashion,603157,상하이,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Guangdong Macro Co Ltd,533,심천,s04,경기 민감형 소비재,가전과 공구,O,null,null
Ningbo Gaofa Auto Control,603788,상하이,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Zhejiang Weixing A,2003,심천,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Anzheng Fashion,603839,상하이,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Haima Automobile A,572,심천,s04,경기 민감형 소비재,자동차와 트럭 제조,O,null,null
Faw Xiali A,927,심천,s04,경기 민감형 소비재,자동차와 트럭 제조,O,null,null
Shanghai Jiao Yun,600676,상하이,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Shenzhen Sea Star Technology,2137,심천,s04,경기 민감형 소비재,가구와 비품,O,null,null
Jiangsu General Science Tech,601500,상하이,s04,경기 민감형 소비재,타이어,O,null,null
Huawei Toys A,2502,심천,s04,경기 민감형 소비재,여가용 제품,O,null,null
Jinxi Axle,600495,상하이,s04,경기 민감형 소비재,자동차와 트럭 제조,O,null,null
Shanghai Pret Composites,2324,심천,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Jiangsu Xinquan Automotive,603179,상하이,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Innovation Medical,2173,심천,s04,경기 민감형 소비재,보석 및 은제품,O,null,null
Jiangsu Pacific Precision,300258,심천,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Jiangsu Lugang Culture,601599,상하이,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Kaiser China Holding Co Ltd,2425,심천,s04,경기 민감형 소비재,의복/액세서리,O,null,null
BIEM.L .FDLKK Garment,2832,심천,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Xuzhou Handler Special Vehicle,300201,심천,s04,경기 민감형 소비재,자동차와 트럭 제조,O,null,null
Chongqing QinAn,603758,상하이,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Zhejiang Tiancheng Controls,603085,상하이,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Zhejiang Red Dragonfly Footwear,603116,상하이,s04,경기 민감형 소비재,신발,O,null,null
Greatoo A,2031,심천,s04,경기 민감형 소비재,타이어,O,null,null
Fujian SBS Zipper Science Tech,2098,심천,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Yindu Kitchen,603277,상하이,s04,경기 민감형 소비재,가전과 공구,O,null,null
Shenzhen Soling Industrial Co Ltd,2766,심천,s04,경기 민감형 소비재,오디오와 비디오 장비,O,null,null
Hunan Tyen Machinery B,900946,상하이,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Hunan Tyen Machinery A,600698,상하이,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
Chant Group A,2616,심천,s04,경기 민감형 소비재,가전과 공구,O,null,null
Shanghai Lansheng,600826,상하이,s04,경기 민감형 소비재,의복/액세서리,O,null,null
Shenyang Jinbei Auto,600609,상하이,s04,경기 민감형 소비재,자동차와 트럭 제조,O,null,null
Asia Pacific A,2284,심천,s04,경기 민감형 소비재,자동차와 트럭 부품,O,null,null
