Name,Symbol,Exchange,Code,Sector,Industry,Listing_status,Delisting_date,New_listing_date
Bbca A,930,심천,s01,기초 소재,화학제조,O,null,null
Jinneng Science,603113,상하이,s01,기초 소재,화학제조,O,null,null
Yahua Ind A,2497,심천,s01,기초 소재,화학제조,O,null,null
Redsun A,525,심천,s01,기초 소재,화학제조,O,null,null
China Garments A,902,심천,s01,기초 소재,화학제조,O,null,null
Zhejiang Jiahua,600273,상하이,s01,기초 소재,화학제조,O,null,null
Western Region Gold,601069,상하이,s01,기초 소재,금과 은,O,null,null
Cangzhou Dahua,600230,상하이,s01,기초 소재,화학제조,O,null,null
Cefc Anhui Intl,2018,심천,s01,기초 소재,화학제조,O,null,null
Henan Huanghe Whirlwind,600172,상하이,s01,기초 소재,금속 광업,O,null,null
Zhejiang Honglei Copper,2647,심천,s01,기초 소재,다종 조립 제품,O,null,null
Guanfu Co Ltd A,2102,심천,s01,기초 소재,다종 조립 제품,O,null,null
Shangying Global,600146,상하이,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Zhejiang Tony,603595,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Kingee Culture A,2721,심천,s01,기초 소재,금속 광업,O,null,null
Jianxin Mining A,688,심천,s01,기초 소재,금속 광업,O,null,null
Guanlu A,831,심천,s01,기초 소재,금속 광업,O,null,null
Sh Morn Elec A,2451,심천,s01,기초 소재,다종 조립 제품,O,null,null
Cn Metal Eng A,758,심천,s01,기초 소재,금속 광업,O,null,null
Yiwu Huading Nylon,601113,상하이,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Guangdong Dowstone Tech,300409,심천,s01,기초 소재,화학제조,O,null,null
Dfd Chemical A,2407,심천,s01,기초 소재,화학제조,O,null,null
Minmetals Dev,600058,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Jingui Silver A,2716,심천,s01,기초 소재,금속 광업,O,null,null
Jien Nickel,600432,상하이,s01,기초 소재,화학제조,O,null,null
Befar Group,601678,상하이,s01,기초 소재,화학제조,O,null,null
Hunan Gold Corp,2155,심천,s01,기초 소재,금과 은,O,null,null
Roshow Tech,2617,심천,s01,기초 소재,다종 조립 제품,O,null,null
Yuanxing Energy A,683,심천,s01,기초 소재,화학제조,O,null,null
Ligeance Mineral A,697,심천,s01,기초 소재,금속 광업,O,null,null
Liyuan Precision A,2501,심천,s01,기초 소재,다종 조립 제품,O,null,null
JANUS Dongguan Precision,300083,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Lier Chemical A,2258,심천,s01,기초 소재,화학제조,O,null,null
Wanchang Tech A,2581,심천,s01,기초 소재,화학제조,O,null,null
Mz Plastic A,2108,심천,s01,기초 소재,조립식 플라스틱과 고무,O,null,null
Zhengzhou Sino Crystal Diamond,300064,심천,s01,기초 소재,금속 광업,O,null,null
Zhongnan Heavy A,2445,심천,s01,기초 소재,다종 조립 제품,O,null,null
Xinjiang Ba Yi Iron & Steel,600581,상하이,s01,기초 소재,철과 철강,O,null,null
Tianma Bearing A,2122,심천,s01,기초 소재,다종 조립 제품,O,null,null
Hanhe Cable A,2498,심천,s01,기초 소재,다종 조립 제품,O,null,null
Xilong Chemical A,2584,심천,s01,기초 소재,화학제조,O,null,null
Shenzhen Mys A,2303,심천,s01,기초 소재,컨테이너와 포장,O,null,null
Lingyuan Iron & Steel,600231,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Shanghai Chlor-Alkali Chemical B,900908,상하이,s01,기초 소재,화학제조,O,null,null
Chlor-Alkali Chemical A,600618,상하이,s01,기초 소재,화학제조,O,null,null
Beijing Easpring Material Tech,300073,심천,s01,기초 소재,화학제조,O,null,null
Rising Nonferrous,600259,상하이,s01,기초 소재,금속 광업,O,null,null
Guizhou Chitianhua,600227,상하이,s01,기초 소재,화학제조,O,null,null
Valiant Co,2643,심천,s01,기초 소재,화학제조,O,null,null
Eerduosi Resources A,600295,상하이,s01,기초 소재,철과 철강,O,null,null
Eerduosi-B,900936,상하이,s01,기초 소재,철과 철강,O,null,null
Anyang Iron & Steel,600569,상하이,s01,기초 소재,철과 철강,O,null,null
Yunnan Yuntianhua,600096,상하이,s01,기초 소재,화학제조,O,null,null
Lianhe Chem Tech A,2250,심천,s01,기초 소재,화학제조,O,null,null
Guizhou Chanhen Chemical,2895,심천,s01,기초 소재,화학제조,O,null,null
Shanghai Phichem A,300398,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Humon Smelting A,2237,심천,s01,기초 소재,금과 은,O,null,null
Zhongcheng Pack A,2522,심천,s01,기초 소재,컨테이너와 포장,O,null,null
Zhejiang XinAn Chemical,600596,상하이,s01,기초 소재,화학제조,O,null,null
Henan Yinge Industrial Inv,600069,상하이,s01,기초 소재,종이와 종이 제품,O,null,null
ZheJiang JiHua,603980,상하이,s01,기초 소재,화학제조,O,null,null
Nuode Investment,600110,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Ningbo Yunsheng,600366,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Dragon Molybde,603399,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Chifeng Jilong Gold Mining,600988,상하이,s01,기초 소재,금과 은,O,null,null
Hubei Xingfa Chemicals,600141,상하이,s01,기초 소재,화학제조,O,null,null
Jiangmen Sugar A,576,심천,s01,기초 소재,종이와 종이 제품,O,null,null
Jiaozuo Wanfang Aluminum,612,심천,s01,기초 소재,금속 광업,O,null,null
Sichuan Chem A,155,심천,s01,기초 소재,화학제조,O,null,null
Asia-Pacific Tech A,2540,심천,s01,기초 소재,다종 조립 제품,O,null,null
Keshun Waterproof A,300737,심천,s01,기초 소재,화학제조,O,null,null
Aucksun A,2245,심천,s01,기초 소재,다종 조립 제품,O,null,null
Tibet Huayu Mining,601020,상하이,s01,기초 소재,금속 광업,O,null,null
Jinhua Chemical A,818,심천,s01,기초 소재,화학제조,O,null,null
BaoJi Titanium,600456,상하이,s01,기초 소재,다종 조립 제품,O,null,null
Rainbow Fine Chemical Industry,2256,심천,s01,기초 소재,화학제조,O,null,null
Unifull Fiber A,2427,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Hongda,600331,상하이,s01,기초 소재,금속 광업,O,null,null
Jiangsu Youli Investment Holding,584,심천,s01,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
ShanXi Coking,600740,상하이,s01,기초 소재,철과 철강,O,null,null
