Name,Symbol,Exchange,Code,Sector,Industry,Listing_status,Delisting_date,New_listing_date
Tianjin Tianhai Invest A,600751,상하이,s10,테크놀로지,전자 장비와 제어기,O,null,null
Tianjin Tianhai Invest B,900938,상하이,s10,테크놀로지,전자 장비와 제어기,O,null,null
GRG Banking Equipment,2152,심천,s10,테크놀로지,컴퓨터 주변기기,O,null,null
Wuhu Token Sciences,300088,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Shanghai Putailai New Energy,603659,상하이,s10,테크놀로지,전자 장비와 제어기,O,null,null
Nanyang Tech A,2389,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
East Group,300376,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Gosuncn A,300098,심천,s10,테크놀로지,통신 장비,O,null,null
Shenzhen Everwin Precision Tech,300115,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Konfoong Materials,300666,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Jx Sp Elec Motor A,2176,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Greatwall Info A,748,심천,s10,테크놀로지,컴퓨터 주변기기,O,null,null
HC Semitek Corp,300323,심천,s10,테크놀로지,반도체,O,null,null
Wuxi Taiji Industry,600667,상하이,s10,테크놀로지,반도체,O,null,null
Huatian Tech A,2185,심천,s10,테크놀로지,반도체,O,null,null
Pci-Suntek Tech,600728,상하이,s10,테크놀로지,소프트웨어와 프로그래밍,O,null,null
Csg Smart Science,300222,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Changsha Jingjia Microelectronics,300474,심천,s10,테크놀로지,반도체,O,null,null
NetPosa Technologies Ltd,300367,심천,s10,테크놀로지,컴퓨터 하드웨어,O,null,null
Dalian Zeus Entertainment,2354,심천,s10,테크놀로지,소프트웨어와 프로그래밍,O,null,null
Beijing Bdstar A,2151,심천,s10,테크놀로지,통신 장비,O,null,null
Techo Telecom A,555,심천,s10,테크놀로지,컴퓨터 서비스,O,null,null
Senyuan Electric A,2358,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Dmegc Magnetics A,2056,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Hangzhou Shunwang Tech,300113,심천,s10,테크놀로지,컴퓨터 서비스,O,null,null
Suzhou Anjie Technology A,2635,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Beijing Thunisoft Co Ltd,300271,심천,s10,테크놀로지,소프트웨어와 프로그래밍,O,null,null
Huagong A,988,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Hand Enterprise Solutions Co,300170,심천,s10,테크놀로지,컴퓨터 서비스,O,null,null
Xiamen Meiya Pico Information,300188,심천,s10,테크놀로지,통신 장비,O,null,null
EVE Energy,300014,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Hangzhou,2280,심천,s10,테크놀로지,소프트웨어와 프로그래밍,O,null,null
Zhuzhou Hongda A,300726,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Chinascholars A,547,심천,s10,테크놀로지,통신 장비,O,null,null
Broad-Ocean A,2249,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Sunwoda Electronic,300207,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Bj Unistrong A,2383,심천,s10,테크놀로지,통신 장비,O,null,null
Thunder Software Tech,300496,심천,s10,테크놀로지,소프트웨어와 프로그래밍,O,null,null
Haili Metal One A,2537,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Nt Microelectron A,2156,심천,s10,테크놀로지,반도체,O,null,null
Beijing Dahao Tech,603025,상하이,s10,테크놀로지,과학과 기술 장비,O,null,null
Fujian Star Net Communic Ltd,2396,심천,s10,테크놀로지,통신 장비,O,null,null
Jiangsu Linyang Energy,601222,상하이,s10,테크놀로지,전자 장비와 제어기,O,null,null
Shenzhen Kingdom SCI Tech,600446,상하이,s10,테크놀로지,컴퓨터 서비스,O,null,null
Sz Sunlord Elec A,2138,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Yangzhou Yangjie Electronic,300373,심천,s10,테크놀로지,반도체,O,null,null
Shenzhen Suntak Circuit,2815,심천,s10,테크놀로지,반도체,O,null,null
Beijing Ultrapower Software,300002,심천,s10,테크놀로지,컴퓨터 서비스,O,null,null
Zhejiang Narada Power Source,300068,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Crystal Optech A,2273,심천,s10,테크놀로지,전자 장비와 제어기,O,null,null
Hexing Electrical,603556,상하이,s10,테크놀로지,전자 장비와 제어기,O,null,null
