Name,Symbol,Exchange,Code,Sector,Industry,Listing_status,Delisting_date,New_listing_date
Jiangsu Phoenix Publishing,601928,상하이,s09,서비스,인쇄와 출판,O,null,null
Shanghai Waigaoqiao Free Trade Zone,600648,상하이,s09,서비스,소매(백화점과 할인점),O,null,null
Shanghai Waigaoqiao Free Trade Zone B,900912,상하이,s09,서비스,소매(백화점과 할인점),O,null,null
Zhejiang Daily Media,600633,상하이,s09,서비스,광고,O,null,null
Beijing Gehua CATV Network,600037,상하이,s09,서비스,방송과 케이블 티브이,O,null,null
Inner Mongolia Hotision Monsod,300355,심천,s09,서비스,개인 서비스,O,null,null
Sichuan Hejia,600093,상하이,s09,서비스,사업 서비스,O,null,null
Shenzhen Techand Eco Environment,300197,심천,s09,서비스,개인 서비스,O,null,null
Huawen Media A,793,심천,s09,서비스,인쇄와 출판,O,null,null
BlueFocus Communication Group,300058,심천,s09,서비스,사업 서비스,O,null,null
China CYTS Tours,600138,상하이,s09,서비스,개인 서비스,O,null,null
Wasu Media Holdings A,156,심천,s09,서비스,방송과 케이블 티브이,O,null,null
Tianjin Capital,600874,상하이,s09,서비스,폐기물 관리 서비스,O,null,null
Happigo Home Shopping Co Ltd,300413,심천,s09,서비스,소매(카탈로그와 메일 주문),O,null,null
Souyute Fashion A,2503,심천,s09,서비스,소매(의복),O,null,null
Pang Da Automobile,601258,상하이,s09,서비스,소매(전문),O,null,null
Changchun Sinoenergy,600856,상하이,s09,서비스,소매(백화점과 할인점),O,null,null
Rainbow Store A,2419,심천,s09,서비스,소매(백화점과 할인점),O,null,null
Eastern Pioneer Driving School,603377,상하이,s09,서비스,학교,O,null,null
Wangfujing,600859,상하이,s09,서비스,소매(백화점과 할인점),O,null,null
Eternal Asia A,2183,심천,s09,서비스,사업 서비스,O,null,null
Shanghai Yuyuan Tourist,600655,상하이,s09,서비스,소매(전문),O,null,null
Anhui Wanjiang Logistics,600575,상하이,s09,서비스,사업 서비스,O,null,null
Zhejiang Weiming Environment,603568,상하이,s09,서비스,폐기물 관리 서비스,O,null,null
China World Trade Center,600007,상하이,s09,서비스,부동산 운용,O,null,null
Sinobright A,560,심천,s09,서비스,소매(백화점과 할인점),O,null,null
Chongqing Tong Jun Ge,591,심천,s09,서비스,소매(약품),O,null,null
Ningbo Peacebird Fashion,603877,상하이,s09,서비스,소매(의복),O,null,null
Guangzhou Kingmed Diagnostics,603882,상하이,s09,서비스,사업 서비스,O,null,null
Sz Huaqiang A,62,심천,s09,서비스,소매(카탈로그와 메일 주문),O,null,null
Lingnan Landscape Co Ltd,2717,심천,s09,서비스,개인 서비스,O,null,null
Eastern Gold Jade,600086,상하이,s09,서비스,소매(전문),O,null,null
Hengdian Entertainment,603103,상하이,s09,서비스,영화,O,null,null
Yunnan Hongxiang Yixintang Pharma,2727,심천,s09,서비스,소매(약품),O,null,null
Tianguang Fire-Fighting,2509,심천,s09,서비스,보안 시스템과 서비스,O,null,null
Beijing Philisense Tech,300287,심천,s09,서비스,사업 서비스,O,null,null
Harbin Hatou Invest,600864,상하이,s09,서비스,사업 서비스,O,null,null
Jiangsu High Hope,600981,상하이,s09,서비스,소매(백화점과 할인점),O,null,null
Xinhua Winshare Media,601811,상하이,s09,서비스,인쇄와 출판,O,null,null
Eastern Investment A,673,심천,s09,서비스,영화,O,null,null
Better Life A,2251,심천,s09,서비스,소매(식료잡화),O,null,null
Grandland Group A,2482,심천,s09,서비스,사업 서비스,O,null,null
Shenzhen Agric A,61,심천,s09,서비스,소매(식료잡화),O,null,null
Bestsun Energy,600681,상하이,s09,서비스,개인 서비스,O,null,null
Chongqing Department Store,600729,상하이,s09,서비스,소매(백화점과 할인점),O,null,null
Dongjiang Environmental A,2672,심천,s09,서비스,폐기물 관리 서비스,O,null,null
Wuhan Department Store Group,501,심천,s09,서비스,소매(백화점과 할인점),O,null,null
Xiamen Xiangyu,600057,상하이,s09,서비스,사업 서비스,O,null,null
China Publishing Media,601949,상하이,s09,서비스,인쇄와 출판,O,null,null
Besttone Holding,600640,상하이,s09,서비스,개인 서비스,O,null,null
Palm Landscape A,2431,심천,s09,서비스,개인 서비스,O,null,null
Xinhuanet,603888,상하이,s09,서비스,소매(전문),O,null,null
Maoye Commercial,600828,상하이,s09,서비스,소매(백화점과 할인점),O,null,null
Tv & Broadcast A,917,심천,s09,서비스,방송과 케이블 티브이,O,null,null
Utour Travel A,2707,심천,s09,서비스,개인 서비스,O,null,null
Jiangsu Hongtu Hi-Tech,600122,상하이,s09,서비스,소매(기술제품),O,null,null
Hna-Caissa Travel Group,796,심천,s09,서비스,레스토랑,O,null,null
Shenzhen Tellus,200025,심천,s09,서비스,소매(전문),O,null,null
Tellus A,25,심천,s09,서비스,소매(전문),O,null,null
Shantou Dongfeng Printing,601515,상하이,s09,서비스,인쇄 서비스,O,null,null
Penyao Environmental A,300664,심천,s09,서비스,폐기물 관리 서비스,O,null,null
Dashang,600694,상하이,s09,서비스,소매(백화점과 할인점),O,null,null
Jiajiayue,603708,상하이,s09,서비스,소매(식료잡화),O,null,null
Telling Tele A,829,심천,s09,서비스,소매(기술제품),O,null,null
Union Hldgs A,36,심천,s09,서비스,부동산 운용,O,null,null
Xian International Medical Investment,516,심천,s09,서비스,소매(백화점과 할인점),O,null,null
Beijing Hualu Baina Film TV,300291,심천,s09,서비스,영화,O,null,null
Jieshun Sci&Tech A,2609,심천,s09,서비스,보안 시스템과 서비스,O,null,null
Chengdu Santai Holding,2312,심천,s09,서비스,보안 시스템과 서비스,O,null,null
Guizhou BC&TV,600996,상하이,s09,서비스,방송과 케이블 티브이,O,null,null
Thinkingdom Media,603096,상하이,s09,서비스,인쇄와 출판,O,null,null
Victor On Text A,18,심천,s09,서비스,부동산 운용,O,null,null
Sino Great Wall,200018,심천,s09,서비스,부동산 운용,O,null,null
Shenzhen Tempus Global Business,300178,심천,s09,서비스,여가 활동,O,null,null
Southern Publishing and Media,601900,상하이,s09,서비스,인쇄와 출판,O,null,null
China Tianying Inc,35,심천,s09,서비스,폐기물 관리 서비스,O,null,null
Nanjing Central Emporium,600280,상하이,s09,서비스,소매(백화점과 할인점),O,null,null
TESIRO Jewelry,603900,상하이,s09,서비스,소매(전문),O,null,null
Misho Ecology Landscape,300495,심천,s09,서비스,개인 서비스,O,null,null
Zhongyuan Environment Prot Ltd,544,심천,s09,서비스,폐기물 관리 서비스,O,null,null
Tianrun Enterpri A,2113,심천,s09,서비스,부동산 운용,O,null,null
Hualian Dep A,882,심천,s09,서비스,소매(백화점과 할인점),O,null,null
Qingdao Liqun Department,601366,상하이,s09,서비스,소매(백화점과 할인점),O,null,null
Tianlun A,711,심천,s09,서비스,사업 서비스,O,null,null
Central China Land Media Co Ltd,719,심천,s09,서비스,인쇄와 출판,O,null,null
JiShi Media,601929,상하이,s09,서비스,방송과 케이블 티브이,O,null,null
Maoye Logistics A,889,심천,s09,서비스,소매(백화점과 할인점),O,null,null
Zhongzai Resources,600217,상하이,s09,서비스,폐기물 관리 서비스,O,null,null
