Name,Symbol,Exchange,Code,Sector,Industry,Listing_status,Delisting_date,New_listing_date
ICBC,601398,상하이,s07,금융,지방 은행,O,null,null
China Construction Bank,601939,상하이,s07,금융,지방 은행,O,null,null
Bank of China,601988,상하이,s07,금융,지방 은행,O,null,null
Agricultural Bank China A,601288,상하이,s07,금융,지방 은행,O,null,null
Ping An Insurance,601318,상하이,s07,금융,보험 (생명),O,null,null
Bank of Communications,601328,상하이,s07,금융,단기금융시장은행,O,null,null
China Merchants Bank,600036,상하이,s07,금융,지방 은행,O,null,null
China Life Insurance,601628,상하이,s07,금융,보험 (생명),O,null,null
Industrial Bank,601166,상하이,s07,금융,지방 은행,O,null,null
Pudong Development Bank,600000,상하이,s07,금융,단기금융시장은행,O,null,null
China Minsheng Banking,600016,상하이,s07,금융,지방 은행,O,null,null
China Pacific Insurance,601601,상하이,s07,금융,보험 (생명),O,null,null
China Citic Bank A,601998,상하이,s07,금융,지방 은행,O,null,null
CITIC Securities,600030,상하이,s07,금융,투자 서비스,O,null,null
China Everbright Bank,601818,상하이,s07,금융,지방 은행,O,null,null
Ping An Bank A,1,심천,s07,금융,지방 은행,O,null,null
Bank of Beijing,601169,상하이,s07,금융,단기금융시장은행,O,null,null
Guotai Junan Securities,601211,상하이,s07,금융,투자 서비스,O,null,null
New China Life Insurance,601336,상하이,s07,금융,보험 (생명),O,null,null
Haitong Securities,600837,상하이,s07,금융,투자 서비스,O,null,null
Gf Securities A,776,심천,s07,금융,투자 서비스,O,null,null
Bank of Shanghai,601229,상하이,s07,금융,지방 은행,O,null,null
Hua Xia Bank,600015,상하이,s07,금융,지방 은행,O,null,null
Huatai Securities,601688,상하이,s07,금융,투자 서비스,O,null,null
Shenwan Hongyuan,166,심천,s07,금융,투자 서비스,O,null,null
China Merchants Securities,600999,상하이,s07,금융,투자 서비스,O,null,null
Bank Of Ningbo A,2142,심천,s07,금융,단기금융시장은행,O,null,null
Guosen Securities,2736,심천,s07,금융,투자 서비스,O,null,null
Bank of Jiangsu,600919,상하이,s07,금융,지방 은행,O,null,null
China Galaxy A,601881,상하이,s07,금융,투자 서비스,O,null,null
Orient Securities,600958,상하이,s07,금융,투자 서비스,O,null,null
Bank of Nanjing,601009,상하이,s07,금융,단기금융시장은행,O,null,null
Caitong Securities,601108,상하이,s07,금융,투자 서비스,O,null,null
Anxin Trust,600816,상하이,s07,금융,소비자 금융 서비스,O,null,null
Everbright Securities,601788,상하이,s07,금융,투자 서비스,O,null,null
Founder Securities,601901,상하이,s07,금융,투자 서비스,O,null,null
Industrial Securities,601377,상하이,s07,금융,투자 서비스,O,null,null
