Name,Symbol,Exchange,Code,Sector,Industry,Listing_status,Delisting_date,New_listing_date
Jinhui Liquor,603919,상하이,s05,소비재/ 경기 방어형,음료(알코올성),O,null,null
Fujian Anjoy Foods,603345,상하이,s05,소비재/ 경기 방어형,식품 가공,O,null,null
Qianhe Condiment and Food,603027,상하이,s05,소비재/ 경기 방어형,식품 가공,O,null,null
Qinghai Huzhu Barley Wine A,2646,심천,s05,소비재/ 경기 방어형,음료(알코올성),O,null,null
Oriental Ocean A,2086,심천,s05,소비재/ 경기 방어형,식품 가공,O,null,null
Sz Shenbao A,19,심천,s05,소비재/ 경기 방어형,식품 가공,O,null,null
Shenzhen Shenbao Industrial,200019,심천,s05,소비재/ 경기 방어형,식품 가공,O,null,null
Xinjiang Guannong,600251,상하이,s05,소비재/ 경기 방어형,곡물,O,null,null
Shanghai Laiyifen,603777,상하이,s05,소비재/ 경기 방어형,식품 가공,O,null,null
Guangdong Kinlong Hardware,2791,심천,s05,소비재/ 경기 방어형,개인과 가계용 제품,O,null,null
Beingmate A,2570,심천,s05,소비재/ 경기 방어형,식품 가공,O,null,null
Chongqing Zaisheng Tech,603601,상하이,s05,소비재/ 경기 방어형,개인과 가계용 제품,O,null,null
Kuaijishan Shaoxing Wine,601579,상하이,s05,소비재/ 경기 방어형,음료(알코올성),O,null,null
Royal Group Co Ltd,2329,심천,s05,소비재/ 경기 방어형,식품 가공,O,null,null
Shuang Ta Food A,2481,심천,s05,소비재/ 경기 방어형,식품 가공,O,null,null
Longlive Biotech A,2604,심천,s05,소비재/ 경기 방어형,식품 가공,O,null,null
Shanghai Xuerong Bio-Tech,300511,심천,s05,소비재/ 경기 방어형,곡물,O,null,null
Tangrenshen Grp A,2567,심천,s05,소비재/ 경기 방어형,식품 가공,O,null,null
Guangbo Group A,2103,심천,s05,소비재/ 경기 방어형,사무용품,O,null,null
Daodaoquan Grain Oil,2852,심천,s05,소비재/ 경기 방어형,식품 가공,O,null,null
Hunan Mendale A,2397,심천,s05,소비재/ 경기 방어형,개인과 가계용 제품,O,null,null
Focus Tech A,2315,심천,s05,소비재/ 경기 방어형,개인과 가계용 제품,O,null,null
Anhui Genuine New,603429,상하이,s05,소비재/ 경기 방어형,담배,O,null,null
Yisheng Poultry A,2458,심천,s05,소비재/ 경기 방어형,Fish/Livestock 어업/축산,O,null,null
Shanghai Greencourt Invest B,900919,상하이,s05,소비재/ 경기 방어형,식품 가공,O,null,null
Shanghai Greencourt Invest A,600695,상하이,s05,소비재/ 경기 방어형,식품 가공,O,null,null
Jiangsu Changhai Compos Material,300196,심천,s05,소비재/ 경기 방어형,개인과 가계용 제품,O,null,null
