Name,Symbol,Exchange,Sector,Industry,Listing_status,Delisting_date,New_listing_date
Man Indus,MIND,NSE,에너지,유정 서비스와 장비,O,null,null
Man Indus,MIND,BSE,에너지,유정 서비스와 장비,O,null,null
Asian Oilfield Services,AOSL,BSE,에너지,유정 서비스와 장비,O,null,null
Alphageo India Ltd,ALPI,NSE,에너지,유정 서비스와 장비,O,null,null
Alphageo India Ltd,ALPI,BSE,에너지,유정 서비스와 장비,O,null,null
Deep Industries Ltd,DEIN,NSE,에너지,유정 서비스와 장비,O,null,null
Deep Industries Ltd,DEIN,BSE,에너지,유정 서비스와 장비,O,null,null
Jindal Drilling Industries,JNDR,BSE,에너지,유정 서비스와 장비,O,null,null
Jindal Drilling Industries,JNDR,NSE,에너지,유정 서비스와 장비,O,null,null
GP Petroleums,GPPE,BSE,에너지,석유와 가스 운용,O,null,null
GP Petroleums,GPPE,NSE,에너지,석유와 가스 운용,O,null,null
Selan Exploration Technology,SELA,BSE,에너지,석유와 가스 운용,O,null,null
Selan Exploration Technology,SELA,NSE,에너지,석유와 가스 운용,O,null,null
United Drilling Tools,UNDR,BSE,에너지,유정 서비스와 장비,O,null,null
Nagarjuna Oil Refinery Ltd,NORL,BSE,에너지,석유와 가스 운용,O,null,null
Nagarjuna Oil Refinery Ltd,NORL,NSE,에너지,석유와 가스 운용,O,null,null
Oil Country Tubular Ltd,OCTL,NSE,에너지,유정 서비스와 장비,O,null,null
Oil Country Tubular Ltd,OCTL,BSE,에너지,유정 서비스와 장비,O,null,null
Dolphin Offshore Enterprises,DOLP,NSE,에너지,유정 서비스와 장비,O,null,null
Dolphin Offshore Enterprises,DOLP,BSE,에너지,유정 서비스와 장비,O,null,null
Gujarat Natural Resources,GUJA,BSE,에너지,석유와 가스 – 통합,O,null,null
Cals Refineries,CALS,BSE,에너지,석유와 가스 운용,O,null,null
Scanpoint Geomatics,SCAG,BSE,에너지,유정 서비스와 장비,O,null,null
GOL Offshore,GOFS,BSE,에너지,유정 서비스와 장비,O,null,null
GOL Offshore,GOFS,NSE,에너지,유정 서비스와 장비,O,null,null
SVOGL Oil Gas and Energy,SVOG,BSE,에너지,유정 서비스와 장비,O,null,null
SVOGL Oil Gas and Energy,SVOG,NSE,에너지,유정 서비스와 장비,O,null,null
Eastern Gases,EASG,BSE,에너지,석유와 가스 운용,O,null,null
Gemmia Oiltech India,GEMM,BSE,에너지,유정 서비스와 장비,O,null,null
Jaihind Projects Ltd,JHNP,NSE,에너지,유정 서비스와 장비,O,null,null
Jaihind Projects Ltd,JHNP,BSE,에너지,유정 서비스와 장비,O,null,null
Pagaria Energy,MWOM,BSE,에너지,석탄,O,null,null
HDFC Bank,HDBK,NSE,금융,지방 은행,O,null,null
HDFC Bank,HDBK,BSE,금융,지방 은행,O,null,null
Housing Dev Fin,HDFC,BSE,금융,소비자 금융 서비스,O,null,null
Housing Dev Fin,HDFC,NSE,금융,소비자 금융 서비스,O,null,null
State Bank,SBI,NSE,금융,지방 은행,O,null,null
State Bank,SBI,BSE,금융,지방 은행,O,null,null
Kotak Mahindra,KTKM,NSE,금융,지방 은행,O,null,null
Kotak Mahindra,KTKM,BSE,금융,지방 은행,O,null,null
ICICI Bank,ICBK,NSE,금융,지방 은행,O,null,null
ICICI Bank,ICBK,BSE,금융,지방 은행,O,null,null
Axis Bank,AXBK,BSE,금융,지방 은행,O,null,null
Axis Bank,AXBK,NSE,금융,지방 은행,O,null,null
IndusInd Bank,INBK,NSE,금융,지방 은행,O,null,null
IndusInd Bank,INBK,BSE,금융,지방 은행,O,null,null
Bajaj Finance,BJFN,BSE,금융,소비자 금융 서비스,O,null,null
Bajaj Finance,BJFN,NSE,금융,소비자 금융 서비스,O,null,null
HDFC Standard,HDFS,BSE,금융,보험 (생명),O,null,null
HDFC Standard,HDFS,NSE,금융,보험 (생명),O,null,null
Bajaj Finserv Limited,BJFS,BSE,금융,보험 (생명),O,null,null
Bajaj Finserv Limited,BJFS,NSE,금융,보험 (생명),O,null,null
Yes Bank,YESB,NSE,금융,지방 은행,O,null,null
Yes Bank,YESB,BSE,금융,지방 은행,O,null,null
SBI Life Insurance,SBIL,NSE,금융,보험 (생명),O,null,null
SBI Life Insurance,SBIL,BSE,금융,보험 (생명),O,null,null
General Insurance India,GENA,NSE,금융,보험 (생명),O,null,null
General Insurance India,GENA,BSE,금융,보험 (생명),O,null,null
New India Assurance,THEE,BSE,금융,보험(다종),O,null,null
New India Assurance,THEE,NSE,금융,보험(다종),O,null,null
ICICI Prudential Life Insurance,ICIR,NSE,금융,보험 (생명),O,null,null
ICICI Prudential Life Insurance,ICIR,BSE,금융,보험 (생명),O,null,null
Indiabulls,INBF,BSE,금융,소비자 금융 서비스,O,null,null
Indiabulls,INBF,NSE,금융,소비자 금융 서비스,O,null,null
ICICI Lombard,ICIL,NSE,금융,보험 (손해),O,null,null
ICICI Lombard,ICIL,BSE,금융,보험 (손해),O,null,null
Bank of Baroda,BOB,BSE,금융,지방 은행,O,null,null
Bank of Baroda,BOB,NSE,금융,지방 은행,O,null,null
Shriram Transport Finance,SRTR,BSE,금융,소비자 금융 서비스,O,null,null
Shriram Transport Finance,SRTR,NSE,금융,소비자 금융 서비스,O,null,null
Aditya Birla Capital,ADTB,BSE,금융,소비자 금융 서비스,O,null,null
Aditya Birla Capital,ADTB,NSE,금융,소비자 금융 서비스,O,null,null
Bajaj Holdings,BJAT,NSE,금융,소비자 금융 서비스,O,null,null
Bajaj Holdings,BJAT,BSE,금융,소비자 금융 서비스,O,null,null
LT Finance Holdings Ltd,LTFH,NSE,금융,소비자 금융 서비스,O,null,null
LT Finance Holdings Ltd,LTFH,BSE,금융,소비자 금융 서비스,O,null,null
Mahindra & Mahindra Financial,MMFS,NSE,금융,소비자 금융 서비스,O,null,null
Mahindra & Mahindra Financial,MMFS,BSE,금융,소비자 금융 서비스,O,null,null
LIC Housing Finance,LICH,NSE,금융,소비자 금융 서비스,O,null,null
LIC Housing Finance,LICH,BSE,금융,소비자 금융 서비스,O,null,null
Rural Electrification,RURL,NSE,금융,다종 금융 서비스,O,null,null
Rural Electrification,RURL,BSE,금융,다종 금융 서비스,O,null,null
Bank of India,BOI,NSE,금융,지방 은행,O,null,null
Bank of India,BOI,BSE,금융,지방 은행,O,null,null
TI Financial,TIFH,NSE,금융,소비자 금융 서비스,O,null,null
TI Financial,TIFH,BSE,금융,소비자 금융 서비스,O,null,null
Max Financial,MAXI,BSE,금융,보험(상해와 건강),O,null,null
Max Financial,MAXI,NSE,금융,보험(상해와 건강),O,null,null
City Union Bank,CTBK,BSE,금융,지방 은행,O,null,null
City Union Bank,CTBK,NSE,금융,지방 은행,O,null,null
JM Financial,JMSH,BSE,금융,소비자 금융 서비스,O,null,null
JM Financial,JMSH,NSE,금융,소비자 금융 서비스,O,null,null
Reliance Capital,RLCP,BSE,금융,투자 서비스,O,null,null
Reliance Capital,RLCP,NSE,금융,투자 서비스,O,null,null
Manappuram Finance Ltd,MNFL,NSE,금융,소비자 금융 서비스,O,null,null
Manappuram Finance Ltd,MNFL,BSE,금융,소비자 금융 서비스,O,null,null
Union Bank of India,UNBK,NSE,금융,지방 은행,O,null,null
Union Bank of India,UNBK,BSE,금융,지방 은행,O,null,null
IDFC,IDFC,NSE,금융,소비자 금융 서비스,O,null,null
IDFC,IDFC,BSE,금융,소비자 금융 서비스,O,null,null
Karur Vysya Bank,KARU,NSE,금융,지방 은행,O,null,null
Karur Vysya Bank,KARU,BSE,금융,지방 은행,O,null,null
Can Fin Homes,CNFH,BSE,금융,소비자 금융 서비스,O,null,null
Can Fin Homes,CNFH,NSE,금융,소비자 금융 서비스,O,null,null
Capital First,CAPF,BSE,금융,소비자 금융 서비스,O,null,null
Capital First,CAPF,NSE,금융,소비자 금융 서비스,O,null,null
Vijaya Bank,VJBK,BSE,금융,지방 은행,O,null,null
Vijaya Bank,VJBK,NSE,금융,지방 은행,O,null,null
Syndicate Bank,SBNK,NSE,금융,지방 은행,O,null,null
Syndicate Bank,SBNK,BSE,금융,지방 은행,O,null,null
State Bank of Bikaner and Jaipur,SBKB,NSE,금융,지방 은행,O,null,null
Indian Overseas Bank,IOBK,NSE,금융,지방 은행,O,null,null
Indian Overseas Bank,IOBK,BSE,금융,지방 은행,O,null,null
Development Credit Bank,DCBA,NSE,금융,지방 은행,O,null,null
Development Credit Bank,DCBA,BSE,금융,지방 은행,O,null,null
Equitas Holdings,EQHL,BSE,금융,소비자 금융 서비스,O,null,null
Equitas Holdings,EQHL,NSE,금융,소비자 금융 서비스,O,null,null
Indian Energy Exchange,IIAN,NSE,금융,투자 서비스,O,null,null
Indian Energy Exchange,IIAN,BSE,금융,투자 서비스,O,null,null
State Bank of Travancore,SBKT,NSE,금융,지방 은행,O,null,null
Allahabad Bank,ALBK,BSE,금융,지방 은행,O,null,null
Allahabad Bank,ALBK,NSE,금융,지방 은행,O,null,null
Ujjivan Financial Services Ltd,UJVF,NSE,금융,소비자 금융 서비스,O,null,null
Ujjivan Financial Services Ltd,UJVF,BSE,금융,소비자 금융 서비스,O,null,null
The South Indian Bank,SIBK,BSE,금융,지방 은행,O,null,null
The South Indian Bank,SIBK,NSE,금융,지방 은행,O,null,null
Tata Investment Corporation,TINV,NSE,금융,투자 서비스,O,null,null
Tata Investment Corporation,TINV,BSE,금융,투자 서비스,O,null,null
UCO Bank,UCBK,NSE,금융,지방 은행,O,null,null
UCO Bank,UCBK,BSE,금융,지방 은행,O,null,null
SREI Infrastructure Finance,SREI,BSE,금융,소비자 금융 서비스,O,null,null
SREI Infrastructure Finance,SREI,NSE,금융,소비자 금융 서비스,O,null,null
Andhra Bank,ADBK,BSE,금융,지방 은행,O,null,null
Andhra Bank,ADBK,NSE,금융,지방 은행,O,null,null
Magma Fincorp,MAGM,BSE,금융,소비자 금융 서비스,O,null,null
Magma Fincorp,MAGM,NSE,금융,소비자 금융 서비스,O,null,null
Repco Home Finance Ltd,RHFL,BSE,금융,소비자 금융 서비스,O,null,null
Repco Home Finance Ltd,RHFL,NSE,금융,소비자 금융 서비스,O,null,null
Corporation Bank,CRBK,NSE,금융,지방 은행,O,null,null
Corporation Bank,CRBK,BSE,금융,지방 은행,O,null,null
Multi Commodity Exchange Of India,MCEI,NSE,금융,투자 서비스,O,null,null
Multi Commodity Exchange Of India,MCEI,BSE,금융,투자 서비스,O,null,null
The Jammu & Kashmir Bank,JKBK,BSE,금융,지방 은행,O,null,null
The Jammu & Kashmir Bank,JKBK,NSE,금융,지방 은행,O,null,null
IFCI,IFCI,NSE,금융,소비자 금융 서비스,O,null,null
IFCI,IFCI,BSE,금융,소비자 금융 서비스,O,null,null
The Karnataka Bank,KBNK,BSE,금융,지방 은행,O,null,null
The Karnataka Bank,KBNK,NSE,금융,지방 은행,O,null,null
MAS Financial,MASF,NSE,금융,소비자 금융 서비스,O,null,null
MAS Financial,MASF,BSE,금융,소비자 금융 서비스,O,null,null
Oriental Bank of Commerce,ORBC,BSE,금융,지방 은행,O,null,null
Oriental Bank of Commerce,ORBC,NSE,금융,지방 은행,O,null,null
Central Depository Services,CENA,NSE,금융,지방 은행,O,null,null
State Bank Of Mysore,SBKM,NSE,금융,지방 은행,O,null,null
Reliance Home Finance,RLIC,NSE,금융,소비자 금융 서비스,O,null,null
Reliance Home Finance,RLIC,BSE,금융,소비자 금융 서비스,O,null,null
Centrum Capital Ltd,CENC,BSE,금융,투자 서비스,O,null,null
Lakshmi Vilas Bank,LVLS,BSE,금융,지방 은행,O,null,null
Lakshmi Vilas Bank,LVLS,NSE,금융,지방 은행,O,null,null
Max India,MAID,NSE,금융,보험(상해와 건강),O,null,null
Max India,MAID,BSE,금융,보험(상해와 건강),O,null,null
Kirloskar Brothers Investments,KBIL,NSE,금융,다종 금융 서비스,O,null,null
Geojit BNP Paribas,GEOJ,BSE,금융,투자 서비스,O,null,null
Geojit BNP Paribas,GEOJ,NSE,금융,투자 서비스,O,null,null
Dena Bank,DENA,NSE,금융,지방 은행,O,null,null
Dena Bank,DENA,BSE,금융,지방 은행,O,null,null
Pilani Investment And Industries Co,PILN,NSE,금융,다종 금융 서비스,O,null,null
Pilani Investment And Industries Co,PILN,BSE,금융,다종 금융 서비스,O,null,null
GIC Housing Finance Ltd,GICH,BSE,금융,소비자 금융 서비스,O,null,null
GIC Housing Finance Ltd,GICH,NSE,금융,소비자 금융 서비스,O,null,null
Punjab Sind Bank,PUNA,NSE,금융,지방 은행,O,null,null
Punjab Sind Bank,PUNA,BSE,금융,지방 은행,O,null,null
United Bank Of India,UBOI,BSE,금융,지방 은행,O,null,null
United Bank Of India,UBOI,NSE,금융,지방 은행,O,null,null
Satin Creditcare Network Ltd,SATR,BSE,금융,소비자 금융 서비스,O,null,null
Satin Creditcare Network Ltd,SATR,NSE,금융,소비자 금융 서비스,O,null,null
Bank Of Maharashtra,BMBK,NSE,금융,지방 은행,O,null,null
Bank Of Maharashtra,BMBK,BSE,금융,지방 은행,O,null,null
Jindal South West Holdings,JNSW,BSE,금융,투자 서비스,O,null,null
Jindal South West Holdings,JNSW,NSE,금융,투자 서비스,O,null,null
Capri Global Capital,CAPG,BSE,금융,소비자 금융 서비스,O,null,null
PTC India Financial Services,PTCN,NSE,금융,다종 금융 서비스,O,null,null
PTC India Financial Services,PTCN,BSE,금융,다종 금융 서비스,O,null,null
Capri Global Capital,CAPG,NSE,금융,소비자 금융 서비스,O,null,null
Muthoot Capital Services Ltd,MUTH,NSE,금융,소비자 금융 서비스,O,null,null
Muthoot Capital Services Ltd,MUTH,BSE,금융,소비자 금융 서비스,O,null,null
SE Investments,PISA,BSE,금융,소비자 금융 서비스,O,null,null
Weizmann Forex Ltd,WEIM,NSE,금융,투자 서비스,O,null,null
SE Investments,PISA,NSE,금융,소비자 금융 서비스,O,null,null
Tourism Finance Corp of India,TFCI,NSE,금융,소비자 금융 서비스,O,null,null
Tourism Finance Corp of India,TFCI,BSE,금융,소비자 금융 서비스,O,null,null
Weizmann Forex Ltd,WEIM,BSE,금융,투자 서비스,O,null,null
Greencrest Fin Services,GRCR,BSE,금융,투자 서비스,O,null,null
Vardhman Holdings Ltd,VRDM,BSE,금융,소비자 금융 서비스,O,null,null
Vardhman Holdings Ltd,VRDM,NSE,금융,소비자 금융 서비스,O,null,null
Fortune Financial,FRTN,NSE,금융,투자 서비스,O,null,null
Fortune Financial,FRTN,BSE,금융,투자 서비스,O,null,null
BF Investment Ltd,BFIN,BSE,금융,투자 서비스,O,null,null
BF Investment Ltd,BFIN,NSE,금융,투자 서비스,O,null,null
Kalyani Investment Company Ltd,KALA,BSE,금융,투자 서비스,O,null,null
Kalyani Investment Company Ltd,KALA,NSE,금융,투자 서비스,O,null,null
Religare Enterprises,RELG,NSE,금융,투자 서비스,O,null,null
Religare Enterprises,RELG,BSE,금융,투자 서비스,O,null,null
Summit Securities Ltd,SUMM,BSE,금융,소비자 금융 서비스,O,null,null
Summit Securities Ltd,SUMM,NSE,금융,소비자 금융 서비스,O,null,null
Pneumatic Holdings Ltd,PNEU,NSE,금융,다종 금융 서비스,O,null,null
PNB Gilts Ltd,PNBG,NSE,금융,투자 서비스,O,null,null
Nalwa Sons Investments Ltd,NALS,BSE,금융,소비자 금융 서비스,O,null,null
PNB Gilts Ltd,PNBG,BSE,금융,투자 서비스,O,null,null
Nalwa Sons Investments Ltd,NALS,NSE,금융,소비자 금융 서비스,O,null,null
Capital Trust,CAPT,BSE,금융,투자 서비스,O,null,null
Capital Trust,CAPT,NSE,금융,투자 서비스,O,null,null
Dhanlaxmi Bank Limited,DNBK,BSE,금융,지방 은행,O,null,null
Dhanlaxmi Bank Limited,DNBK,NSE,금융,지방 은행,O,null,null
IL FS Investment Managers,ILFS,NSE,금융,투자 서비스,O,null,null
IL FS Investment Managers,ILFS,BSE,금융,투자 서비스,O,null,null
Gold Line International Finvest,GDLN,BSE,금융,소비자 금융 서비스,O,null,null
Paul Merchants Ltd,PAUL,BSE,금융,소비자 금융 서비스,O,null,null
Finkurve Financial Services,FINK,BSE,금융,소비자 금융 서비스,O,null,null
Garnet Intl,GARN,BSE,금융,투자 서비스,O,null,null
Mahanivesh India,MAHL,BSE,금융,투자 서비스,O,null,null
5Paisa,PAIS,NSE,금융,투자 서비스,O,null,null
5Paisa,PAIS,BSE,금융,투자 서비스,O,null,null
63 Moons Tech,63MO,NSE,금융,투자 서비스,O,null,null
63 Moons Tech,63MO,BSE,금융,투자 서비스,O,null,null
SRG Housing Finance,SRGH,BSE,금융,소비자 금융 서비스,O,null,null
Kiran Vyapar,KIRN,BSE,금융,소비자 금융 서비스,O,null,null
Sil Investments Ltd,SILI,NSE,금융,다종 금융 서비스,O,null,null
Sil Investments Ltd,SILI,BSE,금융,다종 금융 서비스,O,null,null
Emkay Global Fin Services,EMKS,BSE,금융,투자 서비스,O,null,null
Emkay Global Fin Services,EMKS,NSE,금융,투자 서비스,O,null,null
CSL Finance,CSLF,BSE,금융,소비자 금융 서비스,O,null,null
Sastasundar Ventures,SAST,BSE,금융,다종 금융 서비스,O,null,null
Sastasundar Ventures,SAST,NSE,금융,다종 금융 서비스,O,null,null
Pritika Auto,PITI,BSE,금융,투자 서비스,O,null,null
Yamini Investments Company Ltd,YAMI,BSE,금융,다종 금융 서비스,O,null,null
Aditya Birla Money Ltd,ABML,BSE,금융,투자 서비스,O,null,null
Aditya Birla Money Ltd,ABML,NSE,금융,투자 서비스,O,null,null
A K Capital Services,AKCL,BSE,금융,소비자 금융 서비스,O,null,null
GeeCee Ventures Ltd,GECE,BSE,금융,다종 금융 서비스,O,null,null
GeeCee Ventures Ltd,GECE,NSE,금융,다종 금융 서비스,O,null,null
V L S Finance Ltd,VLSF,BSE,금융,투자 서비스,O,null,null
V L S Finance Ltd,VLSF,NSE,금융,투자 서비스,O,null,null
Share India Securities,SCAC,BSE,금융,투자 서비스,O,null,null
Choice Intl,CFSL,BSE,금융,투자 서비스,O,null,null
Arihant Capital Markets,ARCM,BSE,금융,투자 서비스,O,null,null
Industrial Investment Trust,INDI,BSE,금융,투자 서비스,O,null,null
Industrial Investment Trust,INDI,NSE,금융,투자 서비스,O,null,null
Industrial and Prudential Investment,INPR,BSE,금융,투자 서비스,O,null,null
Nahar Capital Fin Services,NAHA,BSE,금융,투자 서비스,O,null,null
Nahar Capital Fin Services,NAHA,NSE,금융,투자 서비스,O,null,null
Consolidated Finvest Holding,CONS,NSE,금융,다종 금융 서비스,O,null,null
Stampede Capital,STAM,NSE,금융,투자 서비스,O,null,null
Stampede Capital,STAM,BSE,금융,투자 서비스,O,null,null
Global Infratech Finance,GLOB,BSE,금융,다종 금융 서비스,O,null,null
Dolat Investments,DOLA,BSE,금융,다종 금융 서비스,O,null,null
STEL Holdings Ltd,STEL,NSE,금융,다종 금융 서비스,O,null,null
STEL Holdings Ltd,STEL,BSE,금융,다종 금융 서비스,O,null,null
Monarch Networth Capital Ltd,MONR,BSE,금융,투자 서비스,O,null,null
LKP Finance,LKPM,BSE,금융,지방 은행,O,null,null
Arman Financial,ARLF,BSE,금융,소비자 금융 서비스,O,null,null
Arman Financial,ARLF,NSE,금융,소비자 금융 서비스,O,null,null
Oswal Agro Mills,OWAG,BSE,금융,다종 금융 서비스,O,null,null
NBI Industrial,NBII,NSE,금융,투자 서비스,O,null,null
Baid Leasing and Finance Co,BAID,BSE,금융,소비자 금융 서비스,O,null,null
HB Stockholdings Ltd,HBSH,BSE,금융,투자 서비스,O,null,null
Pro Fin Capital Services,PFCS,BSE,금융,소비자 금융 서비스,O,null,null
HB Stockholdings Ltd,HBSH,NSE,금융,투자 서비스,O,null,null
Shree Global Tradefin Ltd BSE,SHGT,BSE,금융,투자 서비스,O,null,null
Sai Baba Invest,SICE,BSE,금융,소비자 금융 서비스,O,null,null
Inventure Growth Securities,IGSL,BSE,금융,투자 서비스,O,null,null
Inventure Growth Securities,IGSL,NSE,금융,투자 서비스,O,null,null
Inditrade Capital,ICLI,BSE,금융,투자 서비스,O,null,null
India Home Loan,INDH,BSE,금융,소비자 금융 서비스,O,null,null
LKP Securities,LKPS,BSE,금융,투자 서비스,O,null,null
Golden Goenka Fincorp,GLON,BSE,금융,소비자 금융 서비스,O,null,null
Naga Dhunseri,NAGD,NSE,금융,투자 서비스,O,null,null
Dhanleela Investments,DHTR,BSE,금융,소비자 금융 서비스,O,null,null
Alps Motor Finance Ltd,ALPM,BSE,금융,소비자 금융 서비스,O,null,null
South India Projects,SOTH,BSE,금융,소비자 금융 서비스,O,null,null
Prime Securities Ltd,PRME,NSE,금융,투자 서비스,O,null,null
Prime Securities Ltd,PRME,BSE,금융,투자 서비스,O,null,null
Oscar Investments,OSCA,BSE,금융,다종 금융 서비스,O,null,null
Steel City Securities,SCYS,NSE,금융,투자 서비스,O,null,null
Mangalam Industrial Fin,MICS,BSE,금융,소비자 금융 서비스,O,null,null
Scan Steels,SANS,BSE,금융,투자 서비스,O,null,null
Akme Star Housing Finance,AKME,BSE,금융,소비자 금융 서비스,O,null,null
Arnold Holding Ltd,ARNO,BSE,금융,소비자 금융 서비스,O,null,null
VB Industries Ltd,VBIN,BSE,금융,소비자 금융 서비스,O,null,null
Wallfort Financial Services,WFFS,BSE,금융,투자 서비스,O,null,null
Sulabh Engineers,SULE,BSE,금융,소비자 금융 서비스,O,null,null
Srestha Finvest,SRET,BSE,금융,소비자 금융 서비스,O,null,null
Master Trust,MSTT,BSE,금융,투자 서비스,O,null,null
Williamson Magor Co Ltd,WILM,BSE,금융,소비자 금융 서비스,O,null,null
Williamson Magor Co Ltd,WILM,NSE,금융,소비자 금융 서비스,O,null,null
KIFS Financial Services,KIFS,BSE,금융,소비자 금융 서비스,O,null,null
BNK Capital Markets,BNKC,BSE,금융,투자 서비스,O,null,null
Ausom Enterprise Ltd,AUSM,NSE,금융,투자 서비스,O,null,null
Ausom Enterprise Ltd,AUSM,BSE,금융,투자 서비스,O,null,null
Sakthi Finance,SKFN,BSE,금융,소비자 금융 서비스,O,null,null
Indbank Merchant Banking,IMBS,BSE,금융,투자 서비스,O,null,null
Indbank Merchant Banking,IMBS,NSE,금융,투자 서비스,O,null,null
Transcorp International Ltd,TRNS,BSE,금융,투자 서비스,O,null,null
SPS Finquest,SPSF,BSE,금융,소비자 금융 서비스,O,null,null
India Finsec,IFIN,BSE,금융,소비자 금융 서비스,O,null,null
Shardul Securities,SHAR,BSE,금융,투자 서비스,O,null,null
Tirupati Fincorp Ltd,TRUP,BSE,금융,소비자 금융 서비스,O,null,null
SRS Finance,SRSF,BSE,금융,소비자 금융 서비스,O,null,null
Blue Circle Services,BLUE,BSE,금융,투자 서비스,O,null,null
Mangal Credit,MCFL,BSE,금융,지방 은행,O,null,null
Goenka Business & Finance,GBFL,BSE,금융,투자 서비스,O,null,null
Mukesh Babu Financial Services,MUKB,BSE,금융,투자 서비스,O,null,null
Ganges Securities,GNGE,BSE,금융,다종 금융 서비스,O,null,null
Ganges Securities,GNGE,NSE,금융,다종 금융 서비스,O,null,null
Intec Capital,INCC,BSE,금융,소비자 금융 서비스,O,null,null
Indo Thai Securities Ltd,ITSL,NSE,금융,투자 서비스,O,null,null
Indo Thai Securities Ltd,ITSL,BSE,금융,투자 서비스,O,null,null
Shalibhadra Finance,SHAL,BSE,금융,소비자 금융 서비스,O,null,null
Avonmore Capital & Management Services,AVCA,BSE,금융,소비자 금융 서비스,O,null,null
Wealth First Portfolio Managers,WEAL,NSE,금융,다종 금융 서비스,O,null,null
Toyam Industries,TOYA,BSE,금융,소비자 금융 서비스,O,null,null
Almondz Global Securities Ltd,ALSL,BSE,금융,투자 서비스,O,null,null
Almondz Global Securities Ltd,ALSL,NSE,금융,투자 서비스,O,null,null
Authum Investment & Infrastructure,AUTH,BSE,금융,투자 서비스,O,null,null
Jindal Poly,JINL,BSE,금융,다종 금융 서비스,O,null,null
Jindal Poly,JINL,NSE,금융,다종 금융 서비스,O,null,null
Stanrose Mafatlal Investments,STNM,BSE,금융,투자 서비스,O,null,null
Ceejay Finance,CEEF,BSE,금융,소비자 금융 서비스,O,null,null
Acme Resources Ltd,ACME,BSE,금융,소비자 금융 서비스,O,null,null
Sagar Productions Ltd,SAGR,BSE,금융,투자 서비스,O,null,null
McDowell Holdings Ltd,MCDH,BSE,금융,투자 서비스,O,null,null
McDowell Holdings Ltd,MCDH,NSE,금융,투자 서비스,O,null,null
Aryaman Financial Services,ARFS,BSE,금융,투자 서비스,O,null,null
Palash Securities,PAAS,NSE,금융,다종 금융 서비스,O,null,null
Palash Securities,PAAS,BSE,금융,다종 금융 서비스,O,null,null
Unisys Softwares,UISY,BSE,금융,소비자 금융 서비스,O,null,null
Ashari Agencies,ASHG,BSE,금융,투자 서비스,O,null,null
Satkar Finlease,SATK,BSE,금융,소비자 금융 서비스,O,null,null
Pioneer Investcorp,PILE,BSE,금융,투자 서비스,O,null,null
Amrapali Fincap Pvt Ltd,AMRF,BSE,금융,투자 서비스,O,null,null
Comfort Intech,COMF,BSE,금융,투자 서비스,O,null,null
Ind Bank Housing,IBNK,BSE,금융,소비자 금융 서비스,O,null,null
Swastika Investmart,SWAF,BSE,금융,투자 서비스,O,null,null
Shivom Investment and Consultancy,SHIT,BSE,금융,소비자 금융 서비스,O,null,null
Amrapali Capital and Finance,AMRA,BSE,금융,투자 서비스,O,null,null
Nagreeka Capital Infrastructure,NCIL,NSE,금융,투자 서비스,O,null,null
Nagreeka Capital Infrastructure,NCIL,BSE,금융,투자 서비스,O,null,null
Sahara Housingfina,SAHR,BSE,금융,소비자 금융 서비스,O,null,null
Frontline Securities,FRSE,BSE,금융,투자 서비스,O,null,null
Viji Finance,VIJI,NSE,금융,소비자 금융 서비스,O,null,null
Viji Finance,VIJI,BSE,금융,소비자 금융 서비스,O,null,null
Transchem,TRAN,BSE,금융,다종 금융 서비스,O,null,null
Sujala Trading Holdings Ltd,SUJA,BSE,금융,소비자 금융 서비스,O,null,null
HB Portfolio,HBPF,BSE,금융,다종 금융 서비스,O,null,null
Kailash Auto Finance Ltd-BO,KAFN,BSE,금융,소비자 금융 서비스,O,null,null
Real Touch Finance,RALT,BSE,금융,소비자 금융 서비스,O,null,null
Maximaa System,MXSY,BSE,금융,다종 금융 서비스,O,null,null
Pyxis Finvest,PYXI,BSE,금융,투자 서비스,O,null,null
Wall Street Finance,WLSF,BSE,금융,투자 서비스,O,null,null
Times Guaranty Ltd,TGFL,BSE,금융,소비자 금융 서비스,O,null,null
Times Guaranty Ltd,TGFL,NSE,금융,소비자 금융 서비스,O,null,null
Diligent Industries Ltd,DILI,BSE,금융,소비자 금융 서비스,O,null,null
Sumedha Fiscal Services,SUMF,BSE,금융,투자 서비스,O,null,null
Goldcrest,GCCO,BSE,금융,투자 서비스,O,null,null
Sainik Finance and Ind,SAIF,BSE,금융,지방 은행,O,null,null
Joindre Capital Services,JONC,BSE,금융,투자 서비스,O,null,null
TCFC Finance,TCFC,BSE,금융,다종 금융 서비스,O,null,null
Keynote Corporate Services,KEYC,NSE,금융,투자 서비스,O,null,null
Franklin Leasing and Finance,FRLF,BSE,금융,소비자 금융 서비스,O,null,null
SMIFS Capital Markets,SMIF,BSE,금융,투자 서비스,O,null,null
Vora Constructions,VORA,BSE,금융,투자 서비스,O,null,null
DB International Stock Brokers,DBSB,NSE,금융,투자 서비스,O,null,null
DB International Stock Brokers,DBSB,BSE,금융,투자 서비스,O,null,null
Aryaman Capital Markets,ARYC,BSE,금융,투자 서비스,O,null,null
Prithvi Exchange India,PRIH,BSE,금융,투자 서비스,O,null,null
Sangam Advisors,SANV,BSE,금융,투자 서비스,O,null,null
Network,NETW,BSE,금융,투자 서비스,O,null,null
ISL Consulting,ISLC,BSE,금융,투자 서비스,O,null,null
