Name,Symbol,Exchange,Sector,Industry,Listing_status,Delisting_date,New_listing_date
Jiangsu Zhongtian Tech,600522,상하이,기초 소재,다종 조립 제품,O,null,null
Zhejiang Longsheng,600352,상하이,기초 소재,화학제조,O,null,null
Jiangsu Shagang A,2075,심천,기초 소재,다종 조립 제품,O,null,null
Qinghai Saltlake A,792,심천,기초 소재,비금속 광업,O,null,null
Nanjing Hanruibalt,300618,심천,기초 소재,금속 광업,O,null,null
Sinopec Oilfield,600871,상하이,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Taigang A,825,심천,기초 소재,다종 조립 제품,O,null,null
Hubei Sanonda,200553,심천,기초 소재,화학제조,O,null,null
Hubei Sanonda A,553,심천,기초 소재,화학제조,O,null,null
Yunnan Chihong,600497,상하이,기초 소재,금속 광업,O,null,null
Jinguyuan Hold A,408,심천,기초 소재,금과 은,O,null,null
Zhejiang Supor A,2032,심천,기초 소재,다종 조립 제품,O,null,null
Zhongjin Gold,600489,상하이,기초 소재,금과 은,O,null,null
Shandong Nanshan,600219,상하이,기초 소재,금속 광업,O,null,null
Wuchan Zhongda,600704,상하이,기초 소재,다종 조립 제품,O,null,null
Xiamen Tungsten,600549,상하이,기초 소재,금속 광업,O,null,null
Sun Paper A,2078,심천,기초 소재,종이와 종이 제품,O,null,null
Shandong Chenming Paper,200488,심천,기초 소재,종이와 종이 제품,O,null,null
Chenming Paper A,488,심천,기초 소재,종이와 종이 제품,O,null,null
Tongling Nfm A,630,심천,기초 소재,금속 광업,O,null,null
Fangyuan Slewing A,2147,심천,기초 소재,다종 조립 제품,O,null,null
Kingenta Eco A,2470,심천,기초 소재,화학제조,O,null,null
Shandong Hualu Hengsheng,600426,상하이,기초 소재,화학제조,O,null,null
Pgvt A,629,심천,기초 소재,금속 광업,O,null,null
Kingfa Sci&Tech,600143,상하이,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Yunnan Copper A,878,심천,기초 소재,금속 광업,O,null,null
Western Mining,601168,상하이,기초 소재,금속 광업,O,null,null
Chow Tai Seng Jewellery,2867,심천,기초 소재,다종 조립 제품,O,null,null
Hang Zhou Iron & Steel,600126,상하이,기초 소재,철과 철강,O,null,null
MeiHua Holdings,600873,상하이,기초 소재,화학제조,O,null,null
Tinci Materials A,2709,심천,기초 소재,화학제조,O,null,null
Guangdong Hongteo Accurate Tech,300176,심천,기초 소재,다종 조립 제품,O,null,null
Liuzhou Iron & Steel,601003,상하이,기초 소재,철과 철강,O,null,null
Sinochem International,600500,상하이,기초 소재,화학제조,O,null,null
Sgis A,717,심천,기초 소재,철과 철강,O,null,null
Hongxing Iron & Steel,600307,상하이,기초 소재,철과 철강,O,null,null
Elion Energy,600277,상하이,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Hailiang A,2203,심천,기초 소재,다종 조립 제품,O,null,null
Eagle Mining,600711,상하이,기초 소재,다종 조립 제품,O,null,null
Jiangsu Yangnong Chemical,600486,상하이,기초 소재,화학제조,O,null,null
Hangzhou First PV Material,603806,상하이,기초 소재,조립식 플라스틱과 고무,O,null,null
ENN Ecological,600803,상하이,기초 소재,화학제조,O,null,null
Zhejiang Shenghua Biok,600226,상하이,기초 소재,화학제조,O,null,null
Hainan Mining,601969,상하이,기초 소재,금속 광업,O,null,null
Neway Valve Suzhou,603699,상하이,기초 소재,다종 조립 제품,O,null,null
Jinhe Industrial A,2597,심천,기초 소재,화학제조,O,null,null
Org Packaging A,2701,심천,기초 소재,컨테이너와 포장,O,null,null
Bengang Steel A,761,심천,기초 소재,철과 철강,O,null,null
Bengang Steel Plates,200761,심천,기초 소재,철과 철강,O,null,null
Hexin Industry A,2343,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Guangdong Kaiping Chunhui Ltd,976,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Bbca A,930,심천,기초 소재,화학제조,O,null,null
Jinneng Science,603113,상하이,기초 소재,화학제조,O,null,null
Yahua Ind A,2497,심천,기초 소재,화학제조,O,null,null
Redsun A,525,심천,기초 소재,화학제조,O,null,null
China Garments A,902,심천,기초 소재,화학제조,O,null,null
Zhejiang Jiahua,600273,상하이,기초 소재,화학제조,O,null,null
Western Region Gold,601069,상하이,기초 소재,금과 은,O,null,null
Cangzhou Dahua,600230,상하이,기초 소재,화학제조,O,null,null
Cefc Anhui Intl,2018,심천,기초 소재,화학제조,O,null,null
Henan Huanghe Whirlwind,600172,상하이,기초 소재,금속 광업,O,null,null
Zhejiang Honglei Copper,2647,심천,기초 소재,다종 조립 제품,O,null,null
Guanfu Co Ltd A,2102,심천,기초 소재,다종 조립 제품,O,null,null
Shangying Global,600146,상하이,기초 소재,조립식 플라스틱과 고무,O,null,null
Zhejiang Tony,603595,상하이,기초 소재,다종 조립 제품,O,null,null
Kingee Culture A,2721,심천,기초 소재,금속 광업,O,null,null
Jianxin Mining A,688,심천,기초 소재,금속 광업,O,null,null
Guanlu A,831,심천,기초 소재,금속 광업,O,null,null
Sh Morn Elec A,2451,심천,기초 소재,다종 조립 제품,O,null,null
Cn Metal Eng A,758,심천,기초 소재,금속 광업,O,null,null
Yiwu Huading Nylon,601113,상하이,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Guangdong Dowstone Tech,300409,심천,기초 소재,화학제조,O,null,null
Dfd Chemical A,2407,심천,기초 소재,화학제조,O,null,null
Minmetals Dev,600058,상하이,기초 소재,다종 조립 제품,O,null,null
Jingui Silver A,2716,심천,기초 소재,금속 광업,O,null,null
Jien Nickel,600432,상하이,기초 소재,화학제조,O,null,null
Befar Group,601678,상하이,기초 소재,화학제조,O,null,null
Hunan Gold Corp,2155,심천,기초 소재,금과 은,O,null,null
Roshow Tech,2617,심천,기초 소재,다종 조립 제품,O,null,null
Yuanxing Energy A,683,심천,기초 소재,화학제조,O,null,null
Ligeance Mineral A,697,심천,기초 소재,금속 광업,O,null,null
Liyuan Precision A,2501,심천,기초 소재,다종 조립 제품,O,null,null
JANUS Dongguan Precision,300083,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Lier Chemical A,2258,심천,기초 소재,화학제조,O,null,null
Wanchang Tech A,2581,심천,기초 소재,화학제조,O,null,null
Mz Plastic A,2108,심천,기초 소재,조립식 플라스틱과 고무,O,null,null
Zhengzhou Sino Crystal Diamond,300064,심천,기초 소재,금속 광업,O,null,null
Zhongnan Heavy A,2445,심천,기초 소재,다종 조립 제품,O,null,null
Xinjiang Ba Yi Iron & Steel,600581,상하이,기초 소재,철과 철강,O,null,null
Tianma Bearing A,2122,심천,기초 소재,다종 조립 제품,O,null,null
Hanhe Cable A,2498,심천,기초 소재,다종 조립 제품,O,null,null
Xilong Chemical A,2584,심천,기초 소재,화학제조,O,null,null
Shenzhen Mys A,2303,심천,기초 소재,컨테이너와 포장,O,null,null
Lingyuan Iron & Steel,600231,상하이,기초 소재,다종 조립 제품,O,null,null
Shanghai Chlor-Alkali Chemical B,900908,상하이,기초 소재,화학제조,O,null,null
Chlor-Alkali Chemical A,600618,상하이,기초 소재,화학제조,O,null,null
Beijing Easpring Material Tech,300073,심천,기초 소재,화학제조,O,null,null
Rising Nonferrous,600259,상하이,기초 소재,금속 광업,O,null,null
Guizhou Chitianhua,600227,상하이,기초 소재,화학제조,O,null,null
Valiant Co,2643,심천,기초 소재,화학제조,O,null,null
Eerduosi Resources A,600295,상하이,기초 소재,철과 철강,O,null,null
Eerduosi-B,900936,상하이,기초 소재,철과 철강,O,null,null
Anyang Iron & Steel,600569,상하이,기초 소재,철과 철강,O,null,null
Yunnan Yuntianhua,600096,상하이,기초 소재,화학제조,O,null,null
Lianhe Chem Tech A,2250,심천,기초 소재,화학제조,O,null,null
Guizhou Chanhen Chemical,2895,심천,기초 소재,화학제조,O,null,null
Shanghai Phichem A,300398,심천,기초 소재,화학 제품 – 플라스틱과 고무,O,null,null
Humon Smelting A,2237,심천,기초 소재,금과 은,O,null,null
Zhongcheng Pack A,2522,심천,기초 소재,컨테이너와 포장,O,null,null
